"Construct","Variable","Visit","Description"
"Caregiver education","rc_cg_education","V01, V04+","Highest level of school completed from Demographics (Adult)"
"Household income","rc_cg_income","V01, V04+","Primary caregiver’s household income from Demographics (Adult)"
"Transitions in Care","TBD","","Flag for transitions in care"
"Caregiver type","TBD","V02+","Caregiver type at each wave, derived from administrative records"
"Cohort","data_cohort","V02+","Cohort subtype, derived from administrative records"
"Site","site","V01+","Location (site) at visit"
"Missed Visit","TBD","V02+","Missed study visit"
"Gestational Age at Visit","TBD","V01+","TBD"
"Total Household 1 Roster- Adult","TBD","V01","Total number of people (adults+children) in Household 1, from Demographics (Adult)"
"Total Household 1 Roster- Child","TBD","V04+","Total number of people (adults+children) in Household 1, from Demographics (Child)"
"Caregiver marital/partner status","TBD","V01, V04+","Caregiver marital/partner status, from Demographics (Adult)"
"Urban Rural Classification","urban_urbanclassification","",""
"Social Vulnerability Index","svi_theme4_prcntile","","SVI– Housing Type/Transportation national percentiles 1 to 100"
"Substance use flags","su_flag_*","","SU flags derived from multiple instruments- see details below"
