Name	PR	BR	Status	WG	Domain	RTDs	RTDs_Status	Table/Topic	RTDs Text (markdown format)	Autoparsed?
Remove 'sequence' field from all tables in Lasso	2.1	21	Lasso to review and ensure WG knows	ALL	GENERAL	known_issue	Done	Sequence Field	The currently included Sequence field is blank across all instruments and will be removed.	Yes
[DATA ERROR]- EPDS adjusted age has negative values	2.1	21	Lasso to review and ensure WG knows	PREGNANCY & EXPOSURE	PREGNANCY & EXPOSURE	known_issue	Done	EPDS	N=2 participants in `pex_bm_epds` have a biologically implausible adjusted age of -1 at V02. Until corrected, please exclude from analyses.	Yes
Tabulated MRI: correct subdomain field in JSONs for 6 XCP-D files	2.1	21	Lasso to review and ensure WG knows	MRI	MRI	known_issue	Done	MRI	The sidecar JSONs for Myers-Labonte-parcellated structural measures in the tabulated XCP-D derivatives should have a `sub_domain` value of `Structural MRI`, not `Resting State fMR`: `img_xcpd_hash-{X}_space-fsLR_seg-MyersLabonte_stat-mean_desc-_morph`. The Data Dictionary available via the NBDC Dictionary Query Tool is correct.	Yes
Clean up crew: Multiple births	3		Active	DATA STRUCTURE	GENERAL	pending	Done	Multibirth Cohorts	For Multibirth Sibling cohorts: (1) instrument fields will be populated where mising and (2) the Data Dictionary element *familyID* will be incorporated to help identify siblings - [see details](https://docs.hbcdstudy.org/latest/instruments/demo/visitinfo/#warning).	Yes
Followup item: scanner info			New; needs discussion	MRI	MRI	TBD	TBD			TBD
Bayley item-level scores	2.1	21	Active	NEUROCOGNITION & LANGUAGE	NEUROCOGNITION & LANGUAGE	pending	Done	Bayley-4	Addition of item-level scores for the Bayley-4.	Yes
Anthro: LT goal for implementing score calculation in ETL based on EDD	2.1	21	Active	PHYSICAL HEALTH	PHYSICAL HEALTH	pending	Done	Growth	Addition of age-based z-scores to `ph_ch_anthro` (see [Z-Scores Excluded](https://docs.hbcdstudy.org/latest/instruments/physhealth/growth/#warning)).	Yes
Inclusion or Exclusion of language fields across instruments	2.1	21	Active	ALL	GENERAL	pending	Done	Language	Addition of language of administration across all instruments where applicable (e.g. BISQ-SF).	TBD
[DATA DICTIONARY CORRECTION]- MLDS Â Â Â special characters	2.1	21	Active	NEUROCOGNITION & LANGUAGE	NEUROCOGNITION & LANGUAGE	known_issue	Done	MLDS	Correct Data Dictionary 'description' element to remove erroneous text that appears at end (e.g., "Â Â Â Â ")	Yes
TLFB PNR; wrong weeks reported comparison	2.1	21	Active	PREGNANCY & EXPOSURE	PREGNANCY & EXPOSURE	known_issue	Done	TLFB	Weeks for postnatal recruits were mistakenly reported in the TLFB **versions 1** or **2** instead of [**version 3** adapted for PNR](https://docs.hbcdstudy.org/latest/instruments/pregexp/su/tlfb/#v3). These will be adjusted to **version 3**.	Yes
[DATA REQUEST]- add in LORIS imaging form variables	2.1	2.1	Active	MRI	MRI	pending	Not done	?		TBD
add unit for nails_results_nail_weight variable	2.1	21	Active	BIOSPECIMEN & OMICS	BIOSPECIMEN & OMICS	known_issue	Done	Nails	Add unit (mg) for `nails_results_nail_weight` variable.	Yes
All decline to answer will still report as zero - eHITS	2.1	21	Active	SED	SOCIAL & ENVIRONMENTAL DETERMINANTS	known_issue	Done	eHITS	In `sed_bm_ehits`, participants who did not respond to any questions have a summary score of 0 instead of missing. Until corrected, users should convert these cases to blank/null prior to conducting analyses.	Yes
[MISSING VARIABLE]- sed_bm_demo_residence_001 and _002	2.1	21	Dev Done	SED	SOCIAL & ENVIRONMENTAL DETERMINANTS	known_issue	Done	Demographics	The variables `sed_bm_demo_residence_{001|002}`, present in the prior release, are missing in the current release and will be added back.	Yes
[DATA DICTIONARY ERROR]- remove " " from biospecimen table levels	2.1		Active	BIOSPECIMEN & OMICS	BIOSPECIMEN & OMICS	known_issue	Done	Nails & Urine	Note that the data dictionary level values have quotes around them (for example; 1= "positive" instead of 1=positive), causing the downloaded data dictionary to have double quotes (e.g. 1=""positive"").	Yes
[DATA DICTIONARY ERROR]- APA Mania	2.1	21	Active	PREGNANCY & EXPOSURE	PREGNANCY & EXPOSURE	known_issue	Done	APA 1/2	Note that `pex_bm_apa_mania_001` through `mania_005` have incorrect Data Dictionary descriptions.	Yes
[SCORING ERROR]- APA individual items present, but no score	2.1		LORIS reviewing	PREGNANCY & EXPOSURE	PREGNANCY & EXPOSURE	known_issue	Done	APA 1/2	There are cases where APA Level 2 was administered against gating logic (e.g. for Repetitive Behavior despite there being missing Level 1 responses). As Level 2 administration was not expected, these are not scored (score = "No additional inquiry required") despite having Level 2 item responses present. The Level 2 item-level data will be removed in the future to prevent confusion.	Yes
[ADD FIELD]- language field for Vineland (distinct from "language of administration" field to be implemented consortium-wide)	2.1	21	Active	NEUROCOGNITION & LANGUAGE	NEUROCOGNITION & LANGUAGE	pending	Done	Vineland	Addition of language field to `ncl_cg_vabs`.	Yes
[SCORING CORRECTION NEEDED]- current PACEs	2.1	21	Active	SED	SOCIAL & ENVIRONMENTAL DETERMINANTS	known_issue	Done	C-PACEs	Summary scores for `sed_bm_paces` are currently calculated as the sum of individual item responses rather than the average. This will be corrected in a future release. In the meantime, users may compute their own average-based summary scores using the item-level data provided in the dataset.	Yes
EEG file was not re-id'd (put in RTD) need to dig into how it happened -	2.1		Active	EEG	EEG	known_issue	Not done	EEG		TBD
[DATA ERROR] - 2 corrupt files in MRI raw BIDS (func)	21		Active	MRI	MRI	known_issue	Done	MRI	There are 2 corrupted raw BIDS files (V02 bold runs under session-level `func/` folders of `rawdata/`) to be resolved. Impacted participant IDs/filepaths are available to DUC-authorized users via the [HBCD Private Release Notes](https://hbcd-docs-private.lassoinformatics.com/#download).	Yes
[DATA ERROR]- age fields in EEG data	2.1		LORIS reviewing	EEG	EEG	known_issue	Done	EEG	Chronological and adjusted age are inaccurate for N=74 participants at V03 due to site data entry errors, causing there to be ages that fall outside of the expected age range (3-9 months). Until resolved, please exclude age values that fall outside of the expected age range from your analyses.	TBD
Genomics - OLINK data proteomics			Not started yet	BIOSPECIMEN & OMICS	BIOSPECIMEN & OMICS	pending	Done	Olink	Genomic Olink Explore 384 Inflammation 1 Panel to be provided for the birth parent during pregnancy as a measure of maternal inflammation.	Yes
[DATA ERROR]- Study Navigator blank checkboxes	2.1	21	Dev Done	Study Navigators	ADMINISTRATIVE	known_issue	Done	Study Navigators	The SUBSTANCE_USE and OTHER checkbox fields are blank and will be populated in the next release.	Yes
[DATA ERROR]- missing participants from tabulated EEG data	2.1		Dev Done	EEG	EEG	known_issue	Done	EEG	N=3 V04 sessions in the HBCD-MADE pipeline derivatives for FACE and MMN tasks are missing corresponding tabulated data. File-based data should therefore be used for analyses. Impacted participant IDs are available to DUC-authorized users via the [HBCD Private Release Notes](https://hbcd-docs-private.lassoinformatics.com/#download).	Yes
Update BrainSwipes data with latest results for patch	2.1	21	Active	MRI	MRI	pending	Done	BrainSwipes	BrainSwipes will be updated with the most recent QC results. In the meantime, users can find the latest QC results in the [HBCD Private Release Notes](https://hbcd-docs-private.lassoinformatics.com/#download).	Yes
Add ERICA	2.1		Active	BEHAVIOR & CAREGIVER-CHILD INTERACTION	BEHAVIOR & CAREGIVER-CHILD INTERACTION	pending	Done	ERICA	Addition of the ERICA instrument.	TBD
