measure,id,acronym,full_name,domain,table_name,construct,visits,child_specific,type,respondent_notes,admin_notes,remote,duration,qc
"Confusion, Hubbub and Order Scale",chaos,CHAOS,,Behavior & Caregiver-Child Interactions,mh_cg_chaos,Family Organization,"V05, V07",Yes,Parent Survey,Primary caregiver on Child,,remote,4-8 min,"Assess missingness (items completed per participant); Verify scoring accuracy; Review summary statistics (item frequencies, total scores); Inspect response distributions for outliers"
ecPROMIS Self-Regulation - Flexibility Scale,ecpromis_selfreg,,,Behavior & Caregiver-Child Interactions,mh_cg_pms__selfreg,Self-Regulation and Flexibility,"V05, V07, V09",Yes,Parent Survey,Primary Caregiver on Child,,remote,1-2 min,"Examine missingness by counting items answered per participant; Check age is within expected ranges; Review summary statistics and visualizations (item frequencies, age, prorated scores)"
Family Assessment Device,fad,FAD (GF6+),,Behavior & Caregiver-Child Interactions,mh_cg_fad,Global Functioning of the Family Unit,"V04, V06",No,Parent Interview or Survey,Birth Parent or Primary Caregiver,,either,2 min,
Infant Behavior Questionnaire-Revised VSF+BI,ibqr,IBQ-R,Infant Behavior Questionnaire-Revised Very Short Form + Behavioral Inhibition,Behavior & Caregiver-Child Interactions,mh_cg_ibqr,Behavioral Inhibition Negative Affectivity Effortful Control Surgency / Extraversion,"V03, V05",Yes,Parent Survey,Primary caregiver,,remote,7-10 min,"Assess missingness (items completed per participant); Verify age falls within expected range; Review summary statistics and visualizations (item frequencies, age, prorated scores); Assess reliability (Cronbach’s α)"
Multidimensional Assessment Profiles - Temper Loss Scale,maps_tl,MAPS-TL,,Behavior & Caregiver-Child Interactions,mh_cg_mapdb__inf,Irritability,V03,,,,,,,"Examine missingness by counting items answered per participant.; Check age is within expected ranges (3-9/10-17 months for Infant/Toddlerhood).; Review summary statistics and visualizations (item frequencies, age, prorated scores).; Cronbach's Alpha calculated to assess reliability."
USDTL Nails Toxicology (Maternal),nails,Nails,,Biospecimen & Omics,"bio_bm_biosample_nails_results (toxicology screen), bio_bm_biosample_nails_type (specimen type)","Drug Panel, Environmental Exposure","V01, V02",No,Direct Assessment,Pregnant/postpartum person,Self-collected under supervision or collected by research team ,in-person,5 min,
USDTL Urine Toxicology (Maternal),urine,Urine,,Biospecimen & Omics,,,,No,Direct Assessment,,,,,
"Bayley Scales of Infant and Toddler Development, Fourth Edition",bayley_4,Bayley-4,,Neurocognition & Language,ncl_ch_bayley,"Child Development (Cognitive, Language, and Motor)",V04,Yes,Parent Interview,Child,,in-person,60-90 min,
MacArthur-Bates CDI,mb_cdi,MB-CDI,"MacArthur-Bates Communicative Development Inventories, Words and Gestures",Neurocognition & Language,ncl_ch_cdiwgen (English version); ncl_ch_cdiwges (Spanish version),Language Development,"V04, V06",Yes,Parent Survey,Birth Parent or Primary Caregiver,,in-person,20-60 min,
Multilingual Language Development Screener,mlds,MLDS,,Neurocognition & Language,ncl_ch_mlds,Multilingual Exposure,"V03, V04, V05, V07",Yes,Parent Survey,Primary Caregiver,"If the caregiver does not complete the assessment remotely, it is conducted at the visit to document the child’s language exposure environments. The instrument can be administered by an HBCD Study team member in-person or via video as needed.",remote,3-10 min,
