instrument,warning
[Preferred Instrument Name for page title],"Please provide any issue flagged by subject matter experts that are critical for users of this data. The purpose of this warning is to improve transparency and offer technical assistance by alerting the user to issues of data quality, providing information on how variables were constructed, providing instructions on how to calculate or analyze specific variables, or providing code (if necessary)."
Infant Leg Motion,"Note that accelerometer sensor timestamps can drift over time. Although right and left leg sensors start recording simultaneously with the same sampling rate and duration, exact time alignment cannot be assumed. By our estimates, Axivity AX6 sensors recording at 25 samples/sec diverge from one another by a couple of seconds over 72 hours, with the magnitude of this discrepancy increasing over time. Furthermore, offsets differed between sensors, necessitating a calibration procedure to correct for these differences (<a href=""https://doi.org/10.3390/s24175736"">Oh et al. 2024</a>).

In addition, for raw data downloads, when calibration files are missing or not collected correctly, it is technically possible to use a different set of calibration files from the same 2 sensors that were collected from a different data collection session close in time. It is also possible to manually adjust (downsample) an incorrect sampling rate if it was set too high. For processed data downloads, when calibration files are missing or not collected correctly, or the sampling rate is incorrect, data are not processed. In analysis, users are advised to use caution in analyzing datasets with missing data as missing data may not be randomly distributed across the sample."
Infant Sensor Questionnaire 1/2/3,Researchers should consider that occurrence of caregiver non-response (see Quality Control information) may not be randomly distributed across the sample.
Growth,"<b>Range Checks For Growth</b><br>
Range checks were performed to identify and exclude extreme out-of-range values. Values outside of the following valid ranges were converted to 'n/a'. <i>Note that these ranges are not age-specific, i.e. the same ranges were used for all visits.</i>
<table class=""table-no-vertical-lines"">
<tbody>
<tr>
<td><b>Name</b></td>
<td><code>ph_ch_anthro_len_001__03</code></td>
<td><code>ph_ch_anthro_head_001__03</code></td>
<td><code>ph_ch_anthro_wei_001__03</code></td>
</tr>
<tr>
<td><b>Description</b></td>
<td>Average length (in cm)</td>
<td>Head circumference (cm)</td>
<td>Average weight (in kg)</td>
</tr>
<tr>
<td><b>Valid Range</b></td>
<td>30 to 130 cm</td>
<td>25 to 55 cm</td>
<td>0.5 to 30 kg</td>
</tr>
</tbody>
</table>
<b>Sex-Specific Birthweight for Gestational Age</b><br>
Sex-specific birthweight for gestational age centiles and z-scores will be calculated in future data releases using Intergrowth curves (<a href=""https://doi.org/10.1016/S0140-6736(14)60932-6"">Villar et al. 2014</a>). In the meantime, data users can use these growth curves or ones of their choice to calculate centiles and small/large for gestational age variables."
Child Demographics,"<b>Participant-Reported Challenges</b><br>
Some participants reported challenges in answering certain questions, such as those related to race and ethnicity (e.g. options did not capture how they choose to identify their child). 
<hr>
<b>Withheld Variables/Variable Data With Small Cell Sizes</b><br>
Some variables do not contain any data in the current data release (e.g., household roster response options allowed for more household members than were reported by the respondents who completed V04 or V06  to date). These variables are currently being retained, as their relevance may change as data collection proceeds.

Some variables in this release have small cell sizes (between 1 and ten people per cell).  As a condition of using these data, specified in the DUC, you agree not to identify any individual from whom data was obtained and not to identify their relatives. You agree to a minimum cell threshold of 10 in any public reporting of the data (publications or presentations). 
<hr>
<b>Branching Logic</b><br>
There are several items with branching logic; please consult the following resources for each questionnaire to see question flow and data dictionaries for information on skip patterns. Topics with branching logic include <a href=""../images/household-relationships.png"" target=""_blank"">Household Roster</a> and Child Custody/Guardianship (see <a href=""../images/child-custody-branching-logic.png"" target=""_blank"">items 15 and 16</a>). See <a href=""../demo-ch-table"" target=""_blank"">Child Demographics Branching Logic</a> for full branching logic details.
<hr>
<b>Incorrect Interpretation of Days Per Month Living with Child Item</b><br>
The item “How many days per month do you live with the child?” (<code>sed_bm_demo_child__relat_002__01</code>) appears to have been misunderstood by some participants. An unexpectedly high number of respondents entered “7,” which suggests that they may have interpreted the question as referring to days per week rather than per month. The question formatting has since been revised to emphasize “per month” and to present 30 as the first response option. Users should interpret earlier responses (in V04) with caution, as some values may reflect misunderstanding of the reference period.
<hr>
<b>Household Roster</b><br>
For household roster variables, respondents were instructed to <b>exclude the main child</b> when reporting the number of people living in the household (e.g., <a href=""../demo-ch-table/#household-specific-details"" target=""_blank"">item 29</a>). Metadata for relevant fields (<code>sed_bm_demo_child__roster_002__02__*</code>) will be updated in the future to make this instruction explicit. This includes fields describing the total number of children younger than 17, the total number of people in the household, and corresponding fields for a second household, if applicable."
Second Hand Smoke Exposure,"Participants report information for the child’s primary residence. If a child spends at least 2-days per week in multiple homes, reporters are asked to provide information for the home they are most familiar with. As a result, exposures to secondhand smoke or chemicals in those additional environments is not captured, which may result in incomplete exposure data."
2-item Food Insecurity,Researchers should be aware that the validated measure uses Yes/No answers and does not account for missing data.
Demographics (Adult),"<b>Participant-Reported Challenges</b><br>
Some participants reported challenges in answering certain questions, such as those related to race and ethnicity (e.g. options did not capture identity) and occupation (i.e., imperfect option for job type and number of hours). 
<hr>
<b>Withheld Variables/Variable Data With Small Cell Sizes</b><br>
Some variables do not contain any data in the current data release (e.g., household roster response options allowed for more household members than were reported by the respondents who completed V04 to date). These variables are currently being retained, as their relevance may change as data collection proceeds.

Some variables in this release have small cell sizes (between 1 and ten people per cell).  As a condition of using these data, specified in the DUC, you agree not to identify any individual from whom data was obtained and not to identify their relatives. You agree to a minimum cell threshold of 10 in any public reporting of the data (publications or presentations). 
<hr>
<b>Branching Logic</b><br>
There are several items that Alternate Caregivers receive with branching logic; please consult the following resources for each questionnaire to see question flow and data dictionaries for information on skip patterns. Topics with branching logic include: 
<table class=""table-no-vertical-lines"" style=""width: 100%; border-collapse: collapse; table-layout: fixed;"">
<tbody>
<tr><td><strong>Household roster</strong></td>
<td><a href=""../images/household-relationships.png"" target=""_blank""><i>Click to view</i></a></td></tr>
<tr><td><strong>Nativity</strong></td>
<td><a href=""https://www.phenxtoolkit.org/protocols/view/10201"">PhenX Toolkit</a></td></tr>
<tr><td><strong>Jobs / work environment</strong></td>
<td>(1) <a href=""https://doi.org/10.1093/occmed/kqz094"">Zachek et al., 2019</a> <i>(Original instrument for the Workplace Hazard)</i><br>
(2) <a href=""https://www.phenxtoolkit.org/protocols/view/60501"">PhenX Occupation/Occupational History Toolkit</a>
</td></tr>
<tr><td><strong>Items on other biological parent with opt-in responses</strong></td>
<td><a href=""../images/other-parent.png"" target=""_blank""><i>Click to view</i></a></td></tr>
</tbody>
</table>
<hr>
<b>Introduction of Child Demographic Form Beginning at V04</b><br>
Beginning at V04, some information that was collected in the V01 Adult Demographic form has moved to the child form (i.e., household roster, and total household income). Please see <a href=""../demo-ch"" target=""_blank"">Child Demographics</a> for more information."
Household Chemical Exposures,"Participants report information for the child’s primary residence. If a child spends at least 2-days per week in multiple homes, reporters are asked to provide information for the home they are most familiar with. As a result, exposures to secondhand smoke or chemicals in those additional environments is not captured, which may result in incomplete exposure data."
Transitions in Care Screener,"Typically, there is only one birth parent TIC Screener form per timepoint. However, if a TIC occurred, there is sometimes one TIC screener filled out when talking to the birth parent and a second screener filled out when talking to the alternate caregiver. This is not an error but reflects how these data were collected. If a TIC occurred, another possibility is that there is only an alternate caregiver TIC form (and not a birth parent form because we were unable to get in touch with the birth parent)."
