instrument,full_name,table_name,construct,study_visits,child_specific,respondent,method,quality_control,source_file,visits,completion_time,quality_control_procedures,variable_name,gestational_age_at_administration,chronological_age_at_administration,adjusted_chronological_age_at_administration,study_navigator_contact_form,visit_1_(v01),prenatal,maternal_age_at_v01,maternal_age_at_delivery,gestational_age_at_delivery_v02+,raw_bids,derivatives,household_roster,nativity,jobs_/_work_environment,items_on_other_biological_parent_with_opt_in_responses,measure_by_domain,satellite_based_particulate_measures,soil_contamination_measures,neighborhood_socioeconomic_status_and_demographics,parks,religious/civic_organizations,social_service,building_density_(epa),population_density_(epa),vehicle_density_(acs),urban/rural_area_(census),walkability_(epa),behavioral_health_measures_(places),measure_of_land_cover_and_tree_canopy_(nlcd),neighborhood_social_factors,census_return_(anomie/disenfranchisement/social_capital),number_of_jobs_and_job_density_(lodes),rent_and_mortgage_statistics_(acs),social_mobility_(opportunity_atlas),neighborhood_composite_measures,area_deprivation_index_(adi),child_opportunity_index_2.0_(coi),minority_health_social_vulnerability_index_(mhsvi),social_vulnerability_index_(svi),1,,child_specific:,respondent:,method:,table_names,type,health_v1__health_history,health_v1__exposures_&_vaccines,health_v1__chronic_conditions,health_v1__illness,health_v1__er_admissions,health_v1__medications,health_v2__pregnancy,health_v2__infancy,domain,depression,anger,mania,anxiety,somatic_symptoms,suicidal_ideation,psychosis,sleep_disturbance,memory,repetitive_behaviors,dissociation,personality_inventory,substance_use,action,referrals,resources,discussion,other,file,batch.info,hbcd.bed,hbcd.bim,hbcd.fam,analytes,2_hydroxyethylflurazepam,6_mam,7_aminoflunitrazepam_/_7_aminoclonazepam_/_7_aminonitrazepam,α_hydroxyalprazolam_/_α_hydroxymidazolam_/_α_hydroxytirazolam,amphetamine_/_methamphetamine,amobarbital_/_butalbital,benzoylecgonine,buprenorphine_/_norbuprenorphine,carboxy_delta_9_thc,carboxy_delta_8_thc,carboxy_cannabidiol,carisoprodol,codeine_/_hydrocodone,cotinine_based_on_dri®_cotinine_assay_(qualitative/semiquantitative),eddp,ethyl_glucuronide,ethyl_sulfate,fentanyl_/_norfentanyl_/_alfentanil_/_sufentanil,hydromorphone_/_morphine,ketamine_/_norketamine,lorazepam_/_nordiazepam_/_oxazepam_/_temazepam,mda_/_mdma_/_mdea,meprobamate,methadone,normeperidine,norpropoxyphene,oxycodone_/_oxymorphone,pentobarbital_/_secobarbital,phenobarbital,phencyclidine,tramadol,zolpidem_/_zolpidem_carboxylic_acid,format,structure,dimensions,folder,anat/,qmri,mrs,func/,fmap/,dwi/,mrs/,qc_type,"raw_mr_data_qc,_including_automated_and_manual",raw_bids_qc_via_mriqc_pipeline,processed_data:_pipeline_specific_reports,processed_data:_brainswipes,tabulated_data,m_crib_s,infant_freesurfer,spectrum,short_te_unedited,hercules_sum,hercules_diff1,hercules_diff2,section,session_summary,participant_info,family_prep_pre_visit,travel_to_visit,prep_at_scan_site,sleep_information,transfer_to_scanner,qsiprep,qsirecon,qsirecon_dsistudio,qsirecon_dipydki,qsirecon_tortoise,qsirecon_tortoise_model_tensor/,measure,mean_amplitude,peak_amplitude,peak_latency,trial_count_standard_condition:_569_deviant_condition:_98_total:_667,markers_of_proper_net_placement,net_placement_rubric
[Preferred Instrument Name for page title],,,,,[Yes/No],"[eg Pregnant participant, Birth parent, Primary Caregiver]",,,../../docs/instruments/template.md,"[V01, V02, V03, etc]",[eg x min],"Detail the QC procedures specific to the measure (e.g., scoring algorithm verification, data consistency checks) and common issues identified during QC processes that users should be aware of (may also be included as a Data Warning above).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age Variable Definitions,,,,,,,,,../../docs/instruments/agevariables.md,,,,Variable Label,gestational_age,candidate_age,adjusted_age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Study Instruments,,,,,,,,,../../docs/instruments/index.md,,,,,,,,Recruitment/Retention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visit Level Data,,,,,,,,,../../docs/instruments/demo/visitinfo.md,,,,,,,,,Visit 2 (V02),0-1 month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Demographics Information,,,Variable Name,,,,,,../../docs/instruments/demo/basicdemo.md,,,,,,,,,,,mother_age_v01,mother_age_delivery,gestational_age_delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infant Leg Motion,,,,,,,,,../../docs/instruments/sensors/wearsensors.md,,,,,,,,,,,,,,Raw Axivity AX6 wearable sensor data in BIDS format ( motion/ subfolder of rawdata/ participant directories),Processed outputs from the HBCD-Motion pipeline ( hbcd_motion/ subfolder of derivatives/ ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infant Sensor Questionnaire 1/2/3,,,,,Yes,Primary Caregiver,,,../../docs/instruments/sensors/questionnaire.md,"V02, V03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infant Nutrition Questionnaire,,ph_cg_inq,Nutrition,V05,Yes,Birth Parent or Primary Caregiver on Child,"HBCD Study staff or self-administered, in person or remote (10 min estimated duration)",Monitoring of data dashboard for variable missingness; Detection of possible coding errors; Review of data consistency,../../docs/instruments/physhealth/nutrition.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecPROMIS - Parent Report Sleep Problems,,ph_cg_pms__sleep,Sleep,"V04, V06",Yes,Birth Parent or Primary Caregiver,"HBCD Study staff or self-administered, in person or remote (1 min estimated duration)",Monitoring of data dashboard for variable missingness; Detection of possible coding errors; Verification of scoring accuracy when applicable; Review of data consistency,../../docs/instruments/physhealth/ecpromis-sleep.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical History Questionnaire,,ph_cg_ecls__medhist,Medical History,"V04, V06",Yes,Birth Parent or Primary Caregiver on Child,"HBCD Study staff or self, in person or remote (10 min estimated duration)",Monitoring of data dashboard for variable missingness; Detection of possible coding errors; Review of data consistency,../../docs/instruments/physhealth/medical-history.md,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
